year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode,perc
2020,Idaho,ID,Teton,16081,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2858,6347,20210622,TOTAL,0.4502914762880101
2020,Idaho,ID,Twin Falls,16083,PRESIDENT,DONALD J TRUMP,REPUBLICAN,25897,36501,20210622,TOTAL,0.7094874113037999
2020,Idaho,ID,Valley,16085,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3947,7063,20210622,TOTAL,0.5588276936146114
2020,Idaho,ID,Washington,16087,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4154,5344,20210622,TOTAL,0.7773203592814372
2020,Illinois,IL,Adams,17001,PRESIDENT,DONALD J TRUMP,REPUBLICAN,24220,33527,20210622,TOTAL,0.7224028395024905
2020,Illinois,IL,Alexander,17003,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1486,2618,20210622,TOTAL,0.5676088617265088
2020,Illinois,IL,Bond,17005,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5625,8145,20210622,TOTAL,0.6906077348066298
2020,Illinois,IL,Boone,17007,PRESIDENT,DONALD J TRUMP,REPUBLICAN,13883,24979,20210622,TOTAL,0.5557868609632091
2020,Illinois,IL,Brown,17009,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1931,2521,20210622,TOTAL,0.7659658865529552
2020,Illinois,IL,Bureau,17011,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10411,17434,20210622,TOTAL,0.5971664563496616
2020,Illinois,IL,Calhoun,17013,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2046,2772,20210622,TOTAL,0.7380952380952381
2020,Illinois,IL,Carroll,17015,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5105,8024,20210622,TOTAL,0.6362163509471586
2020,Illinois,IL,Cass,17017,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3625,5317,20210622,TOTAL,0.6817754372766598
2020,Illinois,IL,Champaign,17019,PRESIDENT,DONALD J TRUMP,REPUBLICAN,35285,95142,20210622,TOTAL,0.3708667045048454
2020,Illinois,IL,Christian,17021,PRESIDENT,DONALD J TRUMP,REPUBLICAN,11563,16204,20210622,TOTAL,0.7135892372253765
2020,Illinois,IL,Clark,17023,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6226,8356,20210622,TOTAL,0.7450933460986118
2020,Illinois,IL,Clay,17025,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5629,6886,20210622,TOTAL,0.8174557072320651
2020,Illinois,IL,Clinton,17027,PRESIDENT,DONALD J TRUMP,REPUBLICAN,14304,19170,20210622,TOTAL,0.7461658841940532
2020,Illinois,IL,Coles,17029,PRESIDENT,DONALD J TRUMP,REPUBLICAN,14037,22606,20210622,TOTAL,0.6209413430062816
2020,Illinois,IL,Cook,17031,PRESIDENT,DONALD J TRUMP,REPUBLICAN,558269,2321486,20210622,TOTAL,0.24047915860789168
2020,Illinois,IL,Crawford,17033,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7043,9425,20210622,TOTAL,0.7472679045092838
2020,Illinois,IL,Cumberland,17035,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4601,5832,20210622,TOTAL,0.788923182441701
2020,Illinois,IL,Dekalb,17037,PRESIDENT,DONALD J TRUMP,REPUBLICAN,21905,47825,20210622,TOTAL,0.45802404600104546
2020,Illinois,IL,De Witt,17039,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5632,8024,20210622,TOTAL,0.7018943170488534
