year,state,state_po,county_name,perc,party.y,date.x,death_rate,case_rate,date.y,Completeness_pct,Administered_Dose1_Recip_18PlusPop_Pct,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct
2016,Missouri,MO,Christian,0.7451301437480436,Republican,20-11-16,2.206166234625779e-4,0.038773371573548064,5/31/2021,0.902,0.418,0.02,0.37
2016,Missouri,MO,Clark,0.7645412130637637,Republican,20-11-16,2.9282576866764275e-4,0.03308931185944363,5/31/2021,0.902,0.26899999999999996,0.05,0.239
2016,Missouri,MO,Clay,0.5216744118501307,Republican,20-11-16,2.2883024346748835e-4,0.014976544900044582,5/31/2021,0.902,0.489,0.03,0.43
2016,Missouri,MO,Clinton,0.6923001567398119,Republican,20-11-16,0.0018488785092200652,0.03619909502262444,5/31/2021,0.902,0.43200000000000005,0.02,0.37799999999999995
2016,Missouri,MO,Cole,0.6586396960453791,Republican,20-11-16,4.724967515848329e-4,0.06596579648514916,5/31/2021,0.902,0.508,0.07,0.455
2016,Missouri,MO,Cooper,0.7042324067117456,Republican,20-11-16,3.508361595135072e-4,0.0584726932522512,5/31/2021,0.902,0.402,0.06,0.35200000000000004
2016,Missouri,MO,Crawford,0.7966171617161716,Republican,20-11-16,4.212477357934201e-4,0.041408652428493196,5/31/2021,0.902,0.29600000000000004,0.13,0.259
2016,Missouri,MO,Dade,0.8058719311566692,Republican,20-11-16,0.003171247357293869,0.047436575052854126,5/31/2021,0.902,0.42,0.1,0.353
2016,Missouri,MO,Dallas,0.7909566617469476,Republican,20-11-16,1.7422614553690692e-4,0.03048957546895871,5/31/2021,0.902,0.322,0.09,0.267
2016,Missouri,MO,Daviess,0.770108544391873,Republican,20-11-16,6.036460219727152e-4,0.03477001086562839,5/31/2021,0.902,0.303,0.05,0.275
2016,Missouri,MO,Dent,0.8246208216757474,Republican,20-11-16,2.583812415218655e-4,0.024352432013435826,5/31/2021,0.902,0.271,0.09,0.23800000000000002
2016,Missouri,MO,Douglas,0.8229822982298229,Republican,20-11-16,0.0010491606714628297,0.02682853717026379,5/31/2021,0.902,0.204,0.09,0.177
2016,Missouri,MO,Dunklin,0.7587445641898279,Republican,20-11-16,4.501696793406746e-4,0.0511462012604751,5/31/2021,0.902,0.299,0.13,0.235
2016,Missouri,MO,Franklin,0.7070021750843095,Republican,20-11-16,5.551886205477223e-4,0.037494376322162556,5/31/2021,0.902,0.523,0.03,0.445
2016,Missouri,MO,Gasconade,0.7615849563465413,Republican,20-11-16,0.0016476726623644103,0.02595084443223946,5/31/2021,0.902,0.479,0.03,0.442
2016,Missouri,MO,Gentry,0.7571475517581334,Republican,20-11-16,0.0016964836520666255,0.0499691548426897,5/31/2021,0.902,0.429,0.06,0.397
2016,Missouri,MO,Greene,0.6038411836169341,Republican,20-11-16,6.033959667386448e-4,0.04305467513228948,5/31/2021,0.902,0.439,0.06,0.392
2016,Missouri,MO,Grundy,0.8032482598607888,Republican,20-11-16,0.0012506513809275664,0.04304325169359041,5/31/2021,0.902,0.34700000000000003,0.1,0.313
2016,Missouri,MO,Harrison,0.8037408511791814,Republican,20-11-16,1.2017786323759164e-4,0.036413892560990264,5/31/2021,0.902,0.348,0.1,0.308
2016,Missouri,MO,Henry,0.7171092641394688,Republican,20-11-16,3.623844899438304e-4,0.037325602464214534,5/31/2021,0.902,0.406,0.1,0.359
2016,Missouri,MO,Hickory,0.7497883149872989,Republican,20-11-16,4.1727519298977677e-4,0.03432088462340914,5/31/2021,0.902,0.355,0.05,0.298
2016,Missouri,MO,Holt,0.8178343949044586,Republican,20-11-16,4.725897920604915e-4,0.045368620037807186,5/31/2021,0.902,0.414,0.02,0.373
2016,Missouri,MO,Howard,0.6731717337715695,Republican,20-11-16,1.9998000199980003e-4,0.0390960903909609,5/31/2021,0.902,0.426,0.06,0.375
2016,Missouri,MO,Howell,0.7959323975938126,Republican,20-11-16,5.464209428244995e-4,0.035989270279668174,5/31/2021,0.902,0.263,0.09,0.215
2016,Missouri,MO,Iron,0.743265401733427,Republican,20-11-16,0,0.017033075856605268,5/31/2021,0.902,0.335,0.13,0.294
