year,state_name,state_po,county_name,county_fips,office,candidate,party,candidatevotes,total_votes,version,mode,perc,state,match,mask,republican,democrat,may_1_cutoff
2020,ALABAMA,AL,PIKE,1109,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8042,13841,20210622,TOTAL,0.581027382,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,RANDOLPH,1111,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8559,10837,20210622,TOTAL,0.789794223,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,RUSSELL,1113,PRESIDENT,DONALD J TRUMP,REPUBLICAN,9864,21329,20210622,TOTAL,0.462468939,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,ST. CLAIR,1115,PRESIDENT,DONALD J TRUMP,REPUBLICAN,36166,44441,20210622,TOTAL,0.813798069,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,SHELBY,1117,PRESIDENT,DONALD J TRUMP,REPUBLICAN,79700,114950,20210622,TOTAL,0.693344933,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,SUMTER,1119,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1598,6291,20210622,TOTAL,0.25401367,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,TALLADEGA,1121,PRESIDENT,DONALD J TRUMP,REPUBLICAN,22235,35663,20210622,TOTAL,0.623475311,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,TALLAPOOSA,1123,PRESIDENT,DONALD J TRUMP,REPUBLICAN,14963,20991,20210622,TOTAL,0.712829308,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,TUSCALOOSA,1125,PRESIDENT,DONALD J TRUMP,REPUBLICAN,51117,90172,20210622,TOTAL,0.56688329,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,WALKER,1127,PRESIDENT,DONALD J TRUMP,REPUBLICAN,26002,31170,20210622,TOTAL,0.834199551,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,WASHINGTON,1129,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6564,8876,20210622,TOTAL,0.739522307,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,WILCOX,1131,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1833,5903,20210622,TOTAL,0.310520075,REPUBLICAN,1,0,0,#N/A,0
2020,ALABAMA,AL,WINSTON,1133,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10195,11284,20210622,TOTAL,0.90349167,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 1,2001,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3511,7314,20210622,TOTAL,0.480038283,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 2,2002,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3674,6136,20210622,TOTAL,0.598761408,REPUBLICAN,1,0,0,#N/A,0
2020,ALASKA,AK,DISTRICT 3,2003,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6076,8385,20210622,TOTAL,0.724627311,REPUBLICAN,1,0,0,#N/A,0
